DateTime,Load_kW,Voltage,Temperature
2024-07-01 00:00:00,51.21,229.09,30.54
2024-07-01 01:00:00,54.34,230.11,33.86
2024-07-01 02:00:00,53.91,229.55,34.57
2024-07-01 03:00:00,58.34,229.93,37.35
2024-07-01 04:00:00,63.73,231.53,40.21
2024-07-01 05:00:00,64.03,229.62,40.57
2024-07-01 06:00:00,65.33,229.46,41.75
2024-07-01 07:00:00,64.88,229.81,40.1
2024-07-01 08:00:00,65.41,230.63,40.55
2024-07-01 09:00:00,62.69,230.61,37.71
2024-07-01 10:00:00,55.06,229.4,35.32
2024-07-01 11:00:00,53.51,229.36,32.9
2024-07-01 12:00:00,49.58,229.53,29.84
2024-07-01 13:00:00,45.67,229.45,26.45
2024-07-01 14:00:00,42.81,229.54,25.17
2024-07-01 15:00:00,38.8,228.03,22.01
2024-07-01 16:00:00,35.3,230.1,19.02
2024-07-01 17:00:00,34.7,228.27,19.38
2024-07-01 18:00:00,35.46,229.82,18.11
2024-07-01 19:00:00,34.02,229.24,18.88
2024-07-01 20:00:00,35.89,229.4,19.15
2024-07-01 21:00:00,38.04,230.12,21.08
2024-07-01 22:00:00,42.3,230.19,24.55
2024-07-01 23:00:00,45.08,231.41,27.72
2024-07-02 00:00:00,52.79,230.31,30.71
2024-07-02 01:00:00,52.48,230.56,32.07
2024-07-02 02:00:00,56.84,228.47,35.31
2024-07-02 03:00:00,58.88,230.62,38.13
2024-07-02 04:00:00,61.87,230.48,40.26
2024-07-02 05:00:00,66.56,229.64,40.56
2024-07-02 06:00:00,65.31,230.79,41.29
2024-07-02 07:00:00,64.38,231.34,41.53
2024-07-02 08:00:00,61.69,231.53,40.11
2024-07-02 09:00:00,59.61,230.92,37.65
2024-07-02 10:00:00,56.07,229.94,36.1
2024-07-02 11:00:00,53.44,229.53,33.26
2024-07-02 12:00:00,50.9,228.67,30.0
2024-07-02 13:00:00,46.96,230.75,28.12
2024-07-02 14:00:00,44.01,230.36,24.49
2024-07-02 15:00:00,41.15,231.85,22.03
2024-07-02 16:00:00,37.07,230.62,20.77
2024-07-02 17:00:00,35.24,230.45,19.54
2024-07-02 18:00:00,35.11,230.32,17.43
2024-07-02 19:00:00,35.02,230.2,18.87
2024-07-02 20:00:00,37.78,231.48,20.66
2024-07-02 21:00:00,38.96,229.73,21.48
2024-07-02 22:00:00,42.22,232.07,23.44
2024-07-02 23:00:00,45.96,230.16,26.8
2024-07-03 00:00:00,48.65,229.65,29.41
2024-07-03 01:00:00,53.45,231.88,33.75
2024-07-03 02:00:00,59.11,229.64,35.56
2024-07-03 03:00:00,58.88,229.65,37.42
2024-07-03 04:00:00,62.41,230.71,40.56
2024-07-03 05:00:00,61.68,229.76,40.66
2024-07-03 06:00:00,65.21,230.89,41.11
2024-07-03 07:00:00,66.58,229.76,40.44
2024-07-03 08:00:00,64.6,230.38,40.6
2024-07-03 09:00:00,61.46,230.38,37.81
2024-07-03 10:00:00,55.68,229.67,35.38
2024-07-03 11:00:00,53.26,231.04,33.31
2024-07-03 12:00:00,46.2,230.43,28.5
2024-07-03 13:00:00,48.76,229.67,27.5
2024-07-03 14:00:00,42.49,229.82,23.64
2024-07-03 15:00:00,40.59,228.96,22.14
2024-07-03 16:00:00,34.33,229.95,19.5
2024-07-03 17:00:00,34.29,230.13,18.25
2024-07-03 18:00:00,37.33,230.26,18.33
2024-07-03 19:00:00,35.61,229.53,18.76
2024-07-03 20:00:00,37.21,229.91,20.11
2024-07-03 21:00:00,40.37,230.33,21.96
